GEO_ID,NAME,B08301_001E,B08301_001M,B08301_002E,B08301_002M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_005E,B08301_005M,B08301_006E,B08301_006M,B08301_007E,B08301_007M,B08301_008E,B08301_008M,B08301_009E,B08301_009M,B08301_010E,B08301_010M,B08301_011E,B08301_011M,B08301_012E,B08301_012M,B08301_013E,B08301_013M,B08301_014E,B08301_014M,B08301_015E,B08301_015M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
06037407501,Census Tract 4075.01; Los Angeles County; California,1671,379,1487,340,1367,332,120,62,97,59,16,25,7,14,0,13,0,13,11,14,7,12,4,7,0,13,0,13,0,13,0,13,6,11,0,13,53,58,0,13,114,65
06037407502,Census Tract 4075.02; Los Angeles County; California,2131,341,1913,339,1660,291,253,118,176,110,28,24,49,41,0,13,0,13,56,30,46,27,4,6,0,13,6,9,0,13,0,13,3,6,0,13,21,18,51,36,87,55
06037407601,Census Tract 4076.01; Los Angeles County; California,1848,334,1686,346,1307,269,379,154,238,103,95,76,46,61,0,13,0,13,20,25,20,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32,52,100,111,10,15
06037407602,Census Tract 4076.02; Los Angeles County; California,1917,308,1619,238,1375,205,244,115,157,72,20,20,67,74,0,13,0,13,97,71,93,71,0,13,4,6,0,13,0,13,44,63,0,13,0,13,11,16,0,13,146,60
06037407701,Census Tract 4077.01; Los Angeles County; California,2003,317,1612,329,1373,263,239,133,180,122,53,43,6,12,0,13,0,13,176,67,176,67,0,13,0,13,0,13,0,13,24,27,0,13,0,13,80,84,49,43,62,46
06037407702,Census Tract 4077.02; Los Angeles County; California,3229,507,2783,495,2505,494,278,133,187,122,42,43,49,50,0,19,0,19,121,70,121,70,0,19,0,19,0,19,0,19,0,19,0,19,17,27,25,34,124,137,159,82
06037407801,Census Tract 4078.01; Los Angeles County; California,2535,443,2279,433,1717,336,562,200,317,113,205,149,35,53,0,19,5,10,38,43,38,43,0,19,0,19,0,19,0,19,0,19,12,19,8,14,89,68,8,12,101,93
06037407802,Census Tract 4078.02; Los Angeles County; California,1751,346,1539,292,1315,201,224,149,216,149,8,12,0,13,0,13,0,13,27,32,27,32,0,13,0,13,0,13,0,13,8,14,0,13,0,13,9,13,20,18,148,106
06037407901,Census Tract 4079.01; Los Angeles County; California,2121,371,1943,364,1664,390,279,123,191,87,88,88,0,13,0,13,0,13,39,51,39,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,38,52,54,56,54
06037407902,Census Tract 4079.02; Los Angeles County; California,726,203,653,192,608,190,45,33,28,25,17,21,0,13,0,13,0,13,38,41,38,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,35,29
06037408003,Census Tract 4080.03; Los Angeles County; California,2243,282,1996,270,1635,246,361,184,299,174,52,52,0,13,10,15,0,13,57,39,41,29,0,13,16,27,0,13,0,13,0,13,0,13,0,13,0,13,20,24,170,102
06037408004,Census Tract 4080.04; Los Angeles County; California,1232,239,1152,228,1032,202,120,104,95,101,11,16,5,7,9,14,0,13,18,20,13,18,5,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,62,38
06037408005,Census Tract 4080.05; Los Angeles County; California,2732,495,2274,480,1967,471,307,124,155,109,63,68,0,19,0,19,89,67,45,34,27,26,0,19,18,24,0,19,0,19,0,19,0,19,0,19,0,19,34,49,379,132
06037408006,Census Tract 4080.06; Los Angeles County; California,1711,307,1516,288,1243,229,273,107,78,40,23,24,144,93,28,32,0,13,52,44,52,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,17,59,43,67,56
